clinic,full_name,lat,long
SACH,St Austell Community Hospital,50.345734274283586,-4.7557926427734065
BODMIN,Bodmin Community Hospital, 50.4831251779371,-4.7448063090682915
RCHT,Royall Cornwall Hospital,50.2922455899619,-5.094995506577425
CRCH,Camborne Redruth Community Hospital,50.24045335918711,-5.244684228315571
WCH, West Cornwall Hospital,50.13317886454645,-5.489130021086654
