,LSOA,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6
118,Brighton and Hove 019C,367.52,788.5,803.67,85.08,614.85,421.88
119,Brighton and Hove 019A,391.9,778.12,793.28,28.0,639.23,446.25
120,Brighton and Hove 028D,436.13,883.71,898.83,98.26,696.09,503.11
121,Brighton and Hove 023B,419.18,908.54,919.95,123.27,702.52,524.28
122,Brighton and Hove 023D,390.24,932.26,953.71,154.93,673.58,495.34
123,Brighton and Hove 021C,339.71,881.73,982.91,186.13,623.05,444.81
124,Brighton and Hove 016C,386.14,821.08,836.25,100.26,633.47,440.49
125,Brighton and Hove 028E,422.36,855.39,870.56,69.51,669.69,476.71
126,Brighton and Hove 016B,371.55,806.5,821.67,103.32,618.88,425.91
127,Brighton and Hove 016D,423.64,901.65,916.82,152.62,706.98,521.06
128,Brighton and Hove 023C,340.29,882.31,911.5,147.3,623.63,445.39
129,Brighton and Hove 023A,384.17,853.92,869.09,104.89,666.31,473.33
130,Brighton and Hove 021E,289.78,831.8,952.64,188.44,573.12,394.88
131,Brighton and Hove 020C,572.31,494.16,509.33,314.69,548.38,370.64
132,Brighton and Hove 020A,524.89,554.64,569.8,246.54,608.85,431.12
133,Brighton and Hove 019E,417.46,608.24,623.41,206.61,611.41,398.86
134,Brighton and Hove 011A,501.69,513.04,626.24,335.96,495.22,282.67
135,Brighton and Hove 007C,348.5,600.71,754.06,410.78,342.03,129.48
136,Brighton and Hove 007D,393.79,557.77,691.4,380.77,432.76,220.21
137,Brighton and Hove 007B,240.11,657.72,881.41,362.76,399.04,206.07
138,Brighton and Hove 007A,234.32,740.33,788.52,156.1,481.65,288.68
139,Brighton and Hove 013C,283.44,825.46,1021.27,278.09,566.78,388.54
140,Brighton and Hove 016A,310.29,830.41,845.58,213.15,619.48,426.51
141,Brighton and Hove 013B,193.04,839.3,1017.87,355.18,580.63,402.38
142,Brighton and Hove 013E,114.33,757.21,910.24,277.81,498.53,305.56
143,Brighton and Hove 013A,244.12,914.08,1018.1,385.68,655.41,462.43
144,Brighton and Hove 007E,216.23,633.84,857.53,311.98,375.16,182.18
145,Brighton and Hove 006B,152.21,858.66,1082.34,480.68,599.98,407.0
146,Brighton and Hove 006C,165.24,708.48,932.16,457.99,449.8,256.82
147,Brighton and Hove 006D,212.43,701.94,925.62,451.45,443.26,250.28
148,Brighton and Hove 013D,37.18,743.63,967.31,405.38,484.95,291.97
149,Brighton and Hove 006A,171.44,836.67,1060.35,499.9,577.99,385.01
150,Brighton and Hove 006E,120.27,798.58,1022.26,482.98,539.9,346.92
151,Brighton and Hove 021D,339.96,881.97,1057.28,264.09,623.3,445.05
152,Brighton and Hove 021A,392.8,934.82,1127.47,334.28,676.14,497.9
153,Brighton and Hove 021B,449.86,932.68,1156.36,433.2,674.0,495.76
154,Brighton and Hove 012E,304.07,777.73,1001.42,330.15,519.06,340.81
155,Brighton and Hove 013F,323.39,797.05,1020.74,424.2,538.37,360.13
156,Brighton and Hove 012D,436.51,757.79,981.48,537.31,499.11,320.87
157,Brighton and Hove 005D,351.95,668.73,892.41,452.76,410.05,231.81
158,Brighton and Hove 005E,537.33,950.84,1174.53,610.61,692.17,513.92
159,Brighton and Hove 012C,299.38,773.04,996.72,372.66,514.36,336.12
160,Brighton and Hove 012A,445.88,884.7,1108.39,519.16,626.02,447.78
161,Brighton and Hove 005C,468.05,784.83,1008.52,568.86,526.15,347.91
162,Brighton and Hove 012B,463.86,909.18,1132.87,537.15,650.51,472.26
163,Brighton and Hove 005A,565.74,882.52,1106.2,664.11,623.84,445.6
164,Brighton and Hove 005B,493.76,810.53,1034.22,594.56,551.85,373.61
